Source,Earthquake ID,Version,Datetime,Magnitude,Depth,Number of Stations,Region,Location
ak,ak11250907,,05/05/2014 01:40:35 AM,1.4,81.7,,"62km W of Willow, Alaska",
ak,ak11250914,,05/05/2014 01:56:35 AM,0.6,12.5,,"78km ENE of Cantwell, Alaska",
ak,ak11250919,,05/05/2014 02:10:56 AM,2.5,34.3,,"88km SE of Yunaska Island, Alaska",
ak,ak11250934,,05/05/2014 02:22:10 AM,3.1,10.7,8,"112km SE of Cold Bay, Alaska",
ak,ak11250937,,05/05/2014 02:29:39 AM,1.4,90.1,,"68km NNW of Talkeetna, Alaska",
ak,ak11250970,,05/05/2014 03:13:15 AM,0.6,27.3,7,"83km E of Cantwell, Alaska",
ak,ak11250989,,05/05/2014 03:28:46 AM,1.2,0,5,"23km WNW of Valdez, Alaska",
ak,ak11250991,,05/05/2014 03:32:31 AM,1.1,10.4,6,"30km S of Tanana, Alaska",
ak,ak11250996,,05/05/2014 03:41:32 AM,2.9,124.6,66,"79km WSW of Cantwell, Alaska",
ak,ak11251044,,05/05/2014 04:38:22 AM,1,10.7,8,"85km W of Cordova, Alaska",
ak,ak11251045,,05/05/2014 04:39:17 AM,3,35,25,"29km NE of Noatak, Alaska",
ak,ak11251049,,05/05/2014 04:48:29 AM,0.9,38,13,"24km NNW of Sutton-Alpine, Alaska",
ak,ak11251054,,05/05/2014 04:49:35 AM,0.6,18,6,"118km NNW of Talkeetna, Alaska",
ak,ak11251055,,05/05/2014 04:51:49 AM,1.2,129.5,8,"117km W of Talkeetna, Alaska",
ak,ak11251056,,05/05/2014 04:59:44 AM,4.6,38,99,"49km WSW of Whittier, Alaska",
ak,ak11251092,,05/05/2014 05:13:20 AM,0.7,4.2,12,"17km NE of Y, Alaska",
ak,ak11251096,,05/05/2014 05:15:00 AM,1,14.4,8,"127km NE of Cape Yakataga, Alaska",
ak,ak11251099,,05/05/2014 05:16:24 AM,1.2,8.7,12,"33km WSW of Talkeetna, Alaska",
ak,ak11251125,,05/05/2014 05:26:30 AM,2.3,42.2,46,"9km WNW of Knik-Fairview, Alaska",
ak,ak11251143,,05/05/2014 05:38:36 AM,0.5,67.4,6,"51km SSW of Cantwell, Alaska",
ak,ak11251144,,05/05/2014 05:39:24 AM,1,11.1,9,"106km W of Cantwell, Alaska",
ak,ak11251145,,05/05/2014 05:37:46 AM,1.1,31,7,"52km WSW of Whittier, Alaska",
ak,ak11251149,,05/05/2014 05:40:45 AM,1.7,7.5,17,"116km W of Cantwell, Alaska",
ak,ak11251153,,05/05/2014 05:44:18 AM,1,0,6,"40km W of Valdez, Alaska",
ak,ak11251168,,05/05/2014 06:11:42 AM,1,103,15,"38km W of Cantwell, Alaska",
ak,ak11251238,,05/05/2014 06:53:45 AM,0.6,8.9,7,"112km NW of Talkeetna, Alaska",
ak,ak11251249,,05/05/2014 07:10:02 AM,0.9,111,12,"13km SSW of Healy, Alaska",
ak,ak11251294,,05/05/2014 07:24:16 AM,0.4,16.7,5,"96km W of Cantwell, Alaska",
ak,ak11251400,,05/05/2014 08:30:37 AM,0.6,14.9,7,"106km W of Cantwell, Alaska",
ak,ak11251401,,05/05/2014 08:33:00 AM,1.7,100.8,27,"83km NNW of Talkeetna, Alaska",
ak,ak11251485,,05/05/2014 10:04:55 AM,0.7,15.1,13,"62km ENE of Cantwell, Alaska",
ak,ak11251487,,05/05/2014 10:07:07 AM,0.9,101,14,"81km WSW of Cantwell, Alaska",
ak,ak11251489,,05/05/2014 10:29:07 AM,1.7,96.1,11,"66km WSW of Anchor Point, Alaska",
ak,ak11251491,,05/05/2014 10:33:06 AM,0.7,44.4,6,"24km SSE of Y, Alaska",
ak,ak11251493,,05/05/2014 10:55:01 AM,1.7,106.9,20,"37km SSE of Redoubt Volcano, Alaska",
ak,ak11251592,,05/05/2014 10:58:49 AM,1.4,61.3,6,"11km W of Homer, Alaska",
ak,ak11251595,,05/05/2014 11:08:30 AM,0.5,11,7,"102km W of Cantwell, Alaska",
ak,ak11251611,,05/05/2014 11:29:52 AM,1.4,11.8,23,"34km NNW of Valdez, Alaska",
ak,ak11251616,,05/05/2014 11:32:00 AM,1.3,4.9,16,"62km NNW of Cape Yakataga, Alaska",
ak,ak11251622,,05/05/2014 11:41:02 AM,1,13.4,10,"37km NW of Ester, Alaska",
ak,ak11251628,,05/05/2014 11:48:30 AM,0.7,9.9,8,"42km N of Cape Yakataga, Alaska",
ak,ak11251631,,05/05/2014 11:59:14 AM,4.5,29,20,"20km NE of Noatak, Alaska",
ak,ak11251745,,05/05/2014 12:12:35 PM,4.6,22.5,41,"21km NE of Noatak, Alaska",
ak,ak11251750,,05/05/2014 12:14:32 PM,1.5,12,7,"58km NE of Yakutat, Alaska",
ak,ak11251756,,05/05/2014 12:16:00 PM,3.9,25.8,19,"22km NE of Noatak, Alaska",
ak,ak11251767,,05/05/2014 12:20:22 PM,1.5,12,8,"88km SW of Unalaska, Alaska",
ak,ak11251769,,05/05/2014 12:21:37 PM,2.9,11.1,18,"21km ENE of Noatak, Alaska",
ak,ak11251770,,05/05/2014 12:23:04 PM,1,64.6,6,"26km SE of Cohoe, Alaska",
ak,ak11251788,,05/05/2014 12:32:42 PM,1.3,1,6,"90km SE of King Salmon, Alaska",
ak,ak11251789,,05/05/2014 12:35:21 PM,2.9,11.7,,"19km ENE of Noatak, Alaska",
ak,ak11251797,,05/05/2014 12:35:44 PM,0.5,11.5,6,"114km W of Cantwell, Alaska",
ak,ak11251800,,05/05/2014 12:38:06 PM,3.1,16.4,25,"24km ENE of Noatak, Alaska",
ak,ak11251815,,05/05/2014 12:48:02 PM,3.1,21.5,26,"34km NE of Noatak, Alaska",
ak,ak11251824,,05/05/2014 01:01:27 AM,0.9,0,5,"15km N of Cape Yakataga, Alaska",
ak,ak11251825,,05/05/2014 01:08:01 AM,3.6,30.4,17,"156km ESE of Akutan, Alaska",
ak,ak11251935,,05/05/2014 01:14:00 AM,0.7,15,11,"18km N of Sutton-Alpine, Alaska",
ak,ak11251956,,05/05/2014 01:31:56 AM,1.1,0,5,"51km NE of Whittier, Alaska",
ak,ak11251967,,05/05/2014 01:45:19 AM,3,14.5,,"21km ENE of Noatak, Alaska",
ak,ak11251986,,05/05/2014 01:56:51 AM,1.6,0,6,"73km NE of Whittier, Alaska",
ak,ak11252169,,05/05/2014 03:08:13 AM,1.2,46.9,7,"16km NE of Sterling, Alaska",
ak,ak11252291,,05/05/2014 03:22:21 AM,0.4,17.5,5,"118km W of Cantwell, Alaska",
ak,ak11252292,,05/05/2014 03:27:00 AM,1.3,0,5,"35km N of Yakutat, Alaska",
ak,ak11252323,,05/05/2014 03:42:34 AM,1.4,36.3,7,"67km SW of Homer, Alaska",
ak,ak11252343,,05/05/2014 03:53:23 AM,1.9,115.8,31,"90km NNW of Talkeetna, Alaska",
ak,ak11252347,,05/05/2014 03:53:55 AM,0.4,17.1,6,"65km NE of Cape Yakataga, Alaska",
ak,ak11252348,,05/05/2014 03:55:30 AM,0.7,2.8,9,"57km NW of Ester, Alaska",
ak,ak11252480,,05/05/2014 04:29:08 AM,0.5,9.5,7,"119km W of Cantwell, Alaska",
ak,ak11252523,,05/05/2014 04:48:37 AM,1,38.2,8,"33km SSE of Sterling, Alaska",
ak,ak11252524,,05/05/2014 04:58:32 AM,1,32.6,5,"12km NNE of Fritz Creek, Alaska",
ak,ak11252675,,05/05/2014 05:29:50 AM,3.5,14.2,20,"25km NE of Noatak, Alaska",
ak,ak11252877,,05/05/2014 06:07:21 AM,2.6,31.7,11,"21km NNE of Noatak, Alaska",
ak,ak11252879,,05/05/2014 06:09:50 AM,0.9,10.3,5,"16km E of Sutton-Alpine, Alaska",
ak,ak11252880,,05/05/2014 06:18:26 AM,1.3,9.5,14,"57km NNW of Cape Yakataga, Alaska",
ak,ak11252888,,05/05/2014 06:36:22 AM,1.6,67.3,10,"65km SW of Anchor Point, Alaska",
ak,ak11252890,,05/05/2014 06:41:30 AM,0.6,92.5,7,"32km E of Healy, Alaska",
ak,ak11252891,,05/05/2014 06:44:45 AM,0.6,79.6,8,"66km NNE of Talkeetna, Alaska",
ak,ak11253087,,05/05/2014 07:26:34 AM,2.2,83,6,"60km SSW of Unalaska, Alaska",
ak,ak11253089,,05/05/2014 07:31:00 AM,1.1,17.1,7,"12km NW of Glennallen, Alaska",
ak,ak11253090,,05/05/2014 07:34:23 AM,0.9,57,5,"22km SSE of Cohoe, Alaska",
ak,ak11253091,,05/05/2014 07:44:17 AM,1.1,16.1,7,"52km SSE of Manley Hot Springs, Alaska",
ak,ak11253145,,05/05/2014 08:02:27 AM,2.7,39.1,16,"23km NNE of Noatak, Alaska",
ak,ak11253356,,05/05/2014 09:23:42 AM,1.8,10.4,28,"29km E of Lazy Mountain, Alaska",
ak,ak11253515,,05/05/2014 09:37:48 AM,2.7,36.4,11,"14km NNE of Noatak, Alaska",
ak,ak11253519,,05/05/2014 09:46:58 AM,1,93.7,9,"25km NNW of Talkeetna, Alaska",
ak,ak11253523,,05/05/2014 10:04:09 AM,1.1,101.3,14,"79km N of Talkeetna, Alaska",
ak,ak11253526,,05/05/2014 10:03:46 AM,0.1,16.5,,"33km E of Lazy Mountain, Alaska",
ak,ak11253582,,05/05/2014 10:48:36 AM,3,22.7,21,"35km ENE of Noatak, Alaska",
ak,ak11253743,,05/05/2014 11:07:04 AM,1.2,0,9,"22km NNE of Badger, Alaska",
ak,ak11253805,,05/05/2014 11:21:50 AM,2,34,6,"53km ENE of Amatignak Island, Alaska",
ak,ak11253806,,05/05/2014 11:26:07 AM,0.4,11.2,5,"116km W of Cantwell, Alaska",
ak,ak11253810,,05/05/2014 11:40:00 AM,1.7,8.2,7,"102km SSW of Arctic Village, Alaska",
ak,ak11253815,,05/06/2014 12:13:34 PM,1.5,94.8,,"79km NNW of Talkeetna, Alaska",
ak,ak11253837,,04/24/2014 12:53:25 PM,2,119,39,"72km SSW of Redoubt Volcano, Alaska",
ak,ak11253844,,04/24/2014 02:26:56 AM,2.6,5.7,28,Gulf of Alaska,
ak,ak11253856,,04/24/2014 04:46:07 AM,0.6,86.6,11,"34km SW of Cantwell, Alaska",
ak,ak11253866,,04/24/2014 07:05:03 AM,2.7,229.4,13,"57km NW of Nikolski, Alaska",
ak,ak11253867,,04/24/2014 07:11:16 AM,2.2,132.8,27,"65km S of Old Iliamna, Alaska",
ak,ak11253868,,04/24/2014 07:23:28 AM,2.6,25.6,6,"177km SSW of Chernabura Island, Alaska",
ak,ak11253870,,04/24/2014 07:58:51 AM,1.7,8.9,6,"56km SSW of Atka, Alaska",
ak,ak11253881,,04/24/2014 10:49:51 AM,1.7,119.7,25,"50km SSW of Redoubt Volcano, Alaska",
ak,ak11253905,,04/24/2014 03:11:02 AM,1.3,119.1,18,"113km W of Talkeetna, Alaska",
ak,ak11253906,,04/24/2014 03:18:57 AM,2.1,16.6,10,"59km SSW of Atka, Alaska",
ak,ak11253921,,04/24/2014 07:14:13 AM,0.5,9.2,12,"104km W of Cantwell, Alaska",
ak,ak11253928,,04/24/2014 08:40:25 AM,1.9,11.8,9,"171km WSW of Gustavus, Alaska",
ak,ak11253929,,04/24/2014 08:41:15 AM,0.9,7.2,11,"170km SE of Tok, Alaska",
ak,ak11253930,,04/24/2014 08:54:10 AM,1.9,5.6,8,"70km SSE of Adak, Alaska",
ak,ak11253931,,04/24/2014 08:58:10 AM,0.7,59.7,10,"72km N of Talkeetna, Alaska",
ak,ak11253944,,04/24/2014 11:24:09 AM,0,14,11,"10km S of Salcha, Alaska",
ak,ak11253956,,05/06/2014 01:37:45 AM,1,2.8,,"48km NNE of Talkeetna, Alaska",
ak,ak11253971,,05/06/2014 02:08:39 AM,1.3,43.1,,"69km NE of Y, Alaska",
ak,ak11253982,,04/26/2014 12:00:40 PM,0.8,45.8,8,"65km N of Sutton-Alpine, Alaska",
ak,ak11253984,,04/26/2014 12:28:32 PM,1.3,60.3,7,"78km E of Old Iliamna, Alaska",
ak,ak11253985,,04/26/2014 12:50:02 PM,1,44.9,8,"11km SSE of Y, Alaska",
ak,ak11253986,,04/26/2014 12:55:40 PM,1.9,67.1,5,"69km N of Larsen Bay, Alaska",
ak,ak11253992,,04/26/2014 01:25:51 AM,0.8,11.4,7,"100km WNW of Cantwell, Alaska",
ak,ak11253994,,04/26/2014 02:02:04 AM,1,24.4,5,"99km SE of New Allakaket, Alaska",
ak,ak11253995,,04/26/2014 02:35:58 AM,0.8,16.1,7,"118km NNW of Talkeetna, Alaska",
ak,ak11253996,,04/26/2014 02:39:10 AM,1.2,79.4,8,"57km WNW of Talkeetna, Alaska",
ak,ak11253997,,04/26/2014 02:43:54 AM,2.7,99.3,9,"134km SSE of Atka, Alaska",
ak,ak11253998,,04/26/2014 02:46:45 AM,1.3,13.1,9,"45km N of Valdez, Alaska",
ak,ak11254001,,04/26/2014 03:38:02 AM,1.3,13.5,8,"116km ESE of Yakutat, Alaska",
ak,ak11254003,,04/26/2014 03:45:23 AM,1.3,1,7,"46km E of Yakutat, Alaska",
ak,ak11254006,,04/26/2014 04:18:27 AM,1.4,81.4,8,"44km NW of Nikiski, Alaska",
ak,ak11254008,,04/26/2014 04:55:49 AM,1.5,99.3,9,"36km SSE of Redoubt Volcano, Alaska",
ak,ak11254010,,04/26/2014 05:36:26 AM,1.1,101.9,14,"20km ESE of Healy, Alaska",
ak,ak11254015,,04/26/2014 06:32:47 AM,1,24.4,7,"23km NE of Manley Hot Springs, Alaska",
ak,ak11254016,,04/26/2014 06:58:45 AM,0.6,10.9,6,"25km ENE of Manley Hot Springs, Alaska",
ak,ak11254018,,04/26/2014 07:11:52 AM,1.2,107.3,9,"79km WSW of Cantwell, Alaska",
ak,ak11254019,,04/26/2014 07:13:43 AM,0.5,11.2,7,"13km NE of Cantwell, Alaska",
ak,ak11254020,,04/26/2014 07:31:40 AM,0.9,40.8,6,"66km NE of Sutton-Alpine, Alaska",
ak,ak11254022,,04/26/2014 07:38:04 AM,0.7,1,8,"115km S of Coldfoot, Alaska",
ak,ak11254032,,04/26/2014 08:57:42 AM,1.8,19.3,7,"88km SE of Unalaska, Alaska",
ak,ak11254034,,04/26/2014 09:52:45 AM,1.9,52.2,6,"100km ESE of Adak, Alaska",
ak,ak11254035,,04/26/2014 09:59:50 AM,1.5,73,6,"28km WSW of Anchor Point, Alaska",
ak,ak11254036,,04/26/2014 10:16:18 AM,2.4,25.3,7,"30km NE of Noatak, Alaska",
ak,ak11254038,,04/26/2014 10:34:53 AM,1.1,28.5,7,"29km NNW of Whittier, Alaska",
ak,ak11254042,,04/26/2014 11:20:16 AM,2.2,9.5,5,"94km SE of Cold Bay, Alaska",
ak,ak11254051,,04/26/2014 03:25:19 AM,0.7,0.1,7,"138km NW of Talkeetna, Alaska",
ak,ak11254052,,04/26/2014 03:50:58 AM,1.2,105.8,9,"78km WSW of Cantwell, Alaska",
ak,ak11254053,,04/26/2014 04:23:16 AM,1.2,94.8,9,"69km NW of Talkeetna, Alaska",
ak,ak11254054,,04/26/2014 04:35:49 AM,1.8,103.6,8,"36km S of Redoubt Volcano, Alaska",
ak,ak11254059,,04/26/2014 05:55:56 AM,1.1,57.4,9,"21km E of Talkeetna, Alaska",
ak,ak11254063,,04/26/2014 07:24:48 AM,1.5,84.8,8,"38km SE of Redoubt Volcano, Alaska",
ak,ak11254065,,04/26/2014 08:09:55 AM,3,132.9,10,"179km SSE of City of Saint Paul, Alaska",
ak,ak11254067,,04/26/2014 09:16:22 AM,1,8.5,6,"7km N of Meadow Lakes, Alaska",
ak,ak11254072,,04/26/2014 10:47:38 AM,1.1,2.7,11,"71km NNE of North Pole, Alaska",
ak,ak11254073,,04/26/2014 10:58:39 AM,0.9,8.2,7,"101km WSW of Healy, Alaska",
ak,ak11254079,,05/06/2014 02:41:24 AM,0.7,22.3,,"35km E of Lazy Mountain, Alaska",
ak,ak11254104,,05/06/2014 04:03:02 AM,3.9,15.4,,"14km NE of Noatak, Alaska",
ak,ak11254113,,05/06/2014 04:14:07 AM,1.5,31.7,,"12km SSW of Knik-Fairview, Alaska",
ak,ak11254150,,05/06/2014 04:50:56 AM,2.4,35,,"45km SSW of Tanaga Volcano, Alaska",
ak,ak11254154,,05/06/2014 04:56:18 AM,2.4,4.6,,"29km ENE of Manley Hot Springs, Alaska",
ak,ak11254159,,05/06/2014 05:11:38 AM,1.3,64.9,,"20km SW of Anchor Point, Alaska",
ak,ak11254160,,05/06/2014 05:18:09 AM,3,13.8,,"98km WSW of Healy, Alaska",
ak,ak11254171,,05/06/2014 05:25:01 AM,3.3,16.3,,"14km NE of Noatak, Alaska",
ak,ak11254179,,05/06/2014 06:06:22 AM,2.4,57.5,,"18km SE of Cohoe, Alaska",
ak,ak11254210,,05/06/2014 06:20:55 AM,2.7,100,,"18km SW of Redoubt Volcano, Alaska",
ak,ak11254217,,05/06/2014 06:23:32 AM,1.4,54.9,,"15km W of Y, Alaska",
ak,ak11254232,,05/06/2014 07:15:37 AM,1.7,0.2,,"43km WSW of Valdez, Alaska",
ak,ak11254235,,05/06/2014 07:32:05 AM,2.6,169.4,,"76km ENE of Adak, Alaska",
ak,ak11254238,,05/06/2014 07:55:08 AM,2.4,100,,"70km SW of Anchor Point, Alaska",
ak,ak11254241,,05/06/2014 07:55:47 AM,2.3,100,,"10km E of Redoubt Volcano, Alaska",
ak,ak11254244,,05/06/2014 08:00:24 AM,0.8,24.5,,"31km NNE of Sutton-Alpine, Alaska",
ak,ak11254246,,05/06/2014 08:09:40 AM,0.9,109.3,,"87km WSW of Cantwell, Alaska",
ak,ak11254250,,05/06/2014 08:22:06 AM,0.6,7.5,,"6km S of Healy, Alaska",
ak,ak11254252,,05/06/2014 08:29:35 AM,1.5,0,,"115km W of Cantwell, Alaska",
ak,ak11254255,,05/06/2014 08:36:25 AM,1.4,7.7,,"32km WSW of Y, Alaska",
ak,ak11254258,,05/06/2014 08:42:18 AM,0.9,0,,"8km ENE of Eielson Air Force Base, Alaska",
ak,ak11254261,,05/06/2014 08:50:58 AM,1.3,0.1,,"43km E of Cape Yakataga, Alaska",
ak,ak11254264,,05/06/2014 09:22:10 AM,1.2,0,,"44km ESE of Cape Yakataga, Alaska",
ak,ak11254265,,05/06/2014 09:35:05 AM,1.4,1.3,,"29km N of Whittier, Alaska",
ak,ak11254266,,05/06/2014 09:40:52 AM,1.1,24.5,,"77km E of Cantwell, Alaska",
ak,ak11254269,,05/06/2014 09:42:44 AM,1,100,,"44km E of Healy, Alaska",
ak,ak11254271,,05/06/2014 09:44:12 AM,0.8,7.9,,"56km NW of Ester, Alaska",
ak,ak11254273,,05/06/2014 09:46:31 AM,1.4,0,,"60km NNE of Manley Hot Springs, Alaska",
ak,ak11254281,,05/06/2014 10:14:22 AM,1.1,51.5,,"4km S of Houston, Alaska",
ak,ak11254283,,05/06/2014 10:22:52 AM,2.2,91.4,,"48km W of Anchor Point, Alaska",
ak,ak11254289,,05/06/2014 10:40:05 AM,1.4,36.2,,"56km W of Valdez, Alaska",
ak,ak11254291,,05/06/2014 11:37:38 AM,2.3,15.1,,"22km SW of Valdez, Alaska",
ak,ak11254298,,05/06/2014 11:49:35 AM,0.9,48.7,,"14km WSW of Anchorage, Alaska",
ak,ak11254299,,05/06/2014 11:59:06 AM,1.6,4.2,,"35km W of Valdez, Alaska",
ak,ak11254303,,05/06/2014 12:01:52 PM,1.4,69,,"37km ESE of Redoubt Volcano, Alaska",
ak,ak11254306,,05/06/2014 12:04:27 PM,1.5,17.8,,"15km NNW of Sutton-Alpine, Alaska",
ak,ak11254309,,05/06/2014 12:05:48 PM,1.4,2.2,,"64km ESE of Lazy Mountain, Alaska",
ak,ak11254312,,05/06/2014 12:18:26 PM,2.1,29.1,,"50km SSE of Homer, Alaska",
ak,ak11254346,,05/06/2014 12:43:14 PM,1.8,73.8,,"65km WSW of Anchor Point, Alaska",
ak,ak11254348,,05/06/2014 12:57:50 PM,2,1.9,,"123km S of Unalaska, Alaska",
ak,ak11254352,,05/06/2014 01:22:27 AM,0.5,24.5,,"23km SSW of Valdez, Alaska",
ak,ak11254382,,05/06/2014 02:04:09 AM,2.8,100,,"21km SW of Redoubt Volcano, Alaska",
ak,ak11254394,,05/06/2014 03:07:48 AM,1,100,,"33km NE of Redoubt Volcano, Alaska",
ak,ak11254401,,05/06/2014 03:11:20 AM,1.7,6,,"109km NW of Talkeetna, Alaska",
ak,ak11254403,,05/06/2014 03:38:17 AM,1.2,98.5,,"43km SSW of Cantwell, Alaska",
ak,ak11254437,,05/06/2014 03:55:26 AM,1.8,6.4,,"79km SE of Whittier, Alaska",
ak,ak11254442,,05/06/2014 04:27:36 AM,0.8,16.9,,"48km ENE of Y, Alaska",
ak,ak11254446,,05/06/2014 04:58:43 AM,0.4,5.5,,"103km NNW of Talkeetna, Alaska",
ak,ak11254450,,05/06/2014 05:35:54 AM,1.8,29.2,,"29km NNW of Anchor Point, Alaska",
ak,ak11254452,,05/06/2014 05:53:08 AM,1.4,13.6,,"153km SSE of Tok, Alaska",
ak,ak11254457,,05/06/2014 05:49:34 AM,2.6,25.9,,"33km SSW of Adak, Alaska",
ak,ak11254459,,05/06/2014 06:06:29 AM,0.6,22.4,,"5km WNW of Ester, Alaska",
ak,ak11254462,,05/06/2014 06:38:12 AM,0.8,34.7,,"40km NNW of Sutton-Alpine, Alaska",
ak,ak11254464,,05/06/2014 07:16:51 AM,1,71.6,,"41km WNW of Talkeetna, Alaska",
ak,ak11254500,,05/06/2014 07:35:39 AM,1.2,0,,"9km N of Healy, Alaska",
ak,ak11254502,,05/06/2014 07:45:59 AM,1.3,24.7,,"32km SE of Anchorage, Alaska",
ak,ak11254504,,05/06/2014 08:11:23 AM,0.8,15.9,,"111km W of Cantwell, Alaska",
ak,ak11254545,,05/06/2014 08:58:34 AM,0.2,8.6,,"7km ESE of Eielson Air Force Base, Alaska",
ak,ak11254554,,05/06/2014 09:52:13 AM,2.1,97.1,,"24km WNW of Nikiski, Alaska",
ak,ak11254559,,05/06/2014 10:13:38 AM,1.1,18.4,,"83km NW of Yakutat, Alaska",
ak,ak11254560,,05/06/2014 11:02:05 AM,1,0,,"24km NNE of Badger, Alaska",
ak,ak11254562,,05/06/2014 11:08:56 AM,0.9,2.2,,"73km W of Healy, Alaska",
ak,ak11254614,,05/07/2014 12:10:23 PM,2.4,38.6,,"74km NNE of Sutton-Alpine, Alaska",
ak,ak11254622,,05/07/2014 12:19:21 PM,1.8,62.2,,"7km NE of Ridgeway, Alaska",
ak,ak11254626,,05/07/2014 12:37:42 PM,1.2,10.2,,"112km NW of Talkeetna, Alaska",
ak,ak11254628,,05/07/2014 12:46:26 PM,1.2,3.8,,"66km WSW of Valdez, Alaska",
ak,ak11254631,,05/07/2014 12:57:55 PM,1.9,77.3,,"43km WNW of Anchor Point, Alaska",
ak,ak11254633,,05/07/2014 01:03:51 AM,2.3,108.9,,"56km SSW of Redoubt Volcano, Alaska",
ak,ak11254638,,05/07/2014 01:15:27 AM,1.6,12.9,8,"59km SW of Haines, Alaska",
ak,ak11254640,,05/07/2014 01:34:34 AM,1.1,1.1,,"67km SSW of Deltana, Alaska",
ak,ak11254642,,05/07/2014 01:48:31 AM,1.8,9.2,19,"33km ESE of Yakutat, Alaska",
ak,ak11254645,,05/07/2014 01:59:56 AM,1.6,22.7,9,"54km ENE of Amatignak Island, Alaska",
ak,ak11254646,,05/07/2014 02:02:16 AM,1.2,90.5,,"27km ESE of Healy, Alaska",
ak,ak11254648,,05/07/2014 02:07:30 AM,1.5,49.4,,"32km NE of Nikiski, Alaska",
ak,ak11254656,,05/07/2014 03:31:04 AM,3.3,25.4,34,"28km NE of Noatak, Alaska",
ak,ak11254659,,05/07/2014 03:51:20 AM,1.5,59.9,,"55km W of Anchorage, Alaska",
ak,ak11254661,,05/07/2014 04:14:08 AM,0.9,14.1,9,"24km SSW of Y, Alaska",
ak,ak11254679,,05/07/2014 04:50:46 AM,1.2,37.4,11,"6km WSW of Houston, Alaska",
ak,ak11254687,,05/07/2014 05:01:53 AM,1.3,96,22,"40km W of Cantwell, Alaska",
ak,ak11254693,,05/07/2014 05:31:10 AM,1.4,0,12,"60km E of Cape Yakataga, Alaska",
ak,ak11254697,,05/07/2014 05:35:40 AM,0.9,12.5,9,"85km NW of Talkeetna, Alaska",
ak,ak11254698,,05/07/2014 05:38:14 AM,1.1,15.1,13,"33km E of Lazy Mountain, Alaska",
ak,ak11254702,,05/07/2014 05:55:47 AM,1.3,14.5,19,"30km ESE of Sutton-Alpine, Alaska",
ak,ak11254705,,05/07/2014 06:02:16 AM,2.8,27.1,20,"31km NE of Noatak, Alaska",
ak,ak11254708,,05/07/2014 06:12:26 AM,1.6,76.8,24,"82km NNW of Nikiski, Alaska",
ak,ak11254713,,05/07/2014 06:43:46 AM,0.8,10.4,7,"92km S of Manley Hot Springs, Alaska",
ak,ak11254714,,05/07/2014 06:59:19 AM,1.7,33.1,22,"45km NNW of Valdez, Alaska",
ak,ak11254730,,05/07/2014 07:35:56 AM,1.3,11,19,"16km N of Meadow Lakes, Alaska",
ak,ak11254733,,05/07/2014 07:47:25 AM,0.9,12,10,"7km N of Tanaina, Alaska",
ak,ak11254734,,05/07/2014 08:17:25 AM,1.1,78.8,10,"22km W of Nikiski, Alaska",
ak,ak11254735,,05/07/2014 08:54:16 AM,1.2,13.6,16,"39km SSW of Ester, Alaska",
ak,ak11254753,,05/07/2014 09:22:27 AM,2.5,95.1,32,"112km SSE of Old Iliamna, Alaska",
ak,ak11254756,,05/07/2014 09:33:47 AM,2.4,33.3,12,"62km SE of Adak, Alaska",
ak,ak11254757,,05/07/2014 09:33:45 AM,1.2,39.7,15,"8km N of Houston, Alaska",
ak,ak11254761,,05/07/2014 09:51:47 AM,1.3,0,9,"70km WNW of Valdez, Alaska",
ak,ak11254762,,05/07/2014 09:54:54 AM,1.6,178.2,20,"121km NW of Talkeetna, Alaska",
ak,ak11254767,,05/07/2014 10:07:14 AM,2.5,116.8,54,"85km WSW of Cantwell, Alaska",
ak,ak11254774,,05/07/2014 10:23:40 AM,1.3,3.4,12,"89km ENE of Cape Yakataga, Alaska",
ak,ak11254775,,05/07/2014 10:29:45 AM,1.9,15.2,,"22km S of Valdez, Alaska",
ak,ak11254781,,05/07/2014 10:46:33 AM,2,45.8,13,"94km SE of Akutan, Alaska",
ak,ak11254783,,05/07/2014 11:14:53 AM,0.8,10.3,8,"111km NW of Talkeetna, Alaska",
ak,ak11254785,,05/07/2014 11:45:18 AM,1.7,107.3,,"73km NNW of Talkeetna, Alaska",
ak,ak11254789,,05/07/2014 11:56:19 AM,1.1,0,8,"73km WNW of Valdez, Alaska",
ak,ak11254791,,05/07/2014 12:24:45 PM,1.4,0,,"75km WNW of Valdez, Alaska",
ak,ak11254807,,05/07/2014 12:36:02 PM,1.5,0,,"50km E of Cape Yakataga, Alaska",
ak,ak11254813,,05/07/2014 01:19:28 AM,1.9,8.7,8,"17km ENE of Amatignak Island, Alaska",
ak,ak11254815,,05/07/2014 01:41:45 AM,1.2,18.2,13,"53km N of Valdez, Alaska",
ak,ak11254818,,05/07/2014 01:44:20 AM,0.6,19.3,5,"32km E of Lazy Mountain, Alaska",
ak,ak11254819,,05/07/2014 01:54:17 AM,1.1,35.6,,"65km ENE of Sutton-Alpine, Alaska",
ak,ak11254865,,05/07/2014 03:50:11 AM,0.8,12.2,,"112km NW of Talkeetna, Alaska",
ak,ak11254866,,05/07/2014 03:50:45 AM,2.2,24.4,,"69km NNE of Tanana, Alaska",
ak,ak11254872,,05/07/2014 04:46:28 AM,1.3,0,,"35km W of Valdez, Alaska",
ak,ak11254897,,05/07/2014 04:52:40 AM,1.4,37.2,,"37km S of Anchorage, Alaska",
